序号,SQL
25,"select count(*) as prdt_cnt
from dim_product
where prdt_type_name='ETF';"
26,"select max(data_dt) as latest_dt
from dwd_cust_hold_d;"
27,"select count(distinct pty_id) as cust_cnt
from dwd_cust_hold_d
where data_dt='20260331';"
28,"select sum(mkt_val) as tot_mkt_val
from dwd_cust_hold_d
where data_dt='20260331';"
29,"select ccy, count(*) as cnt
from dwd_cust_hold_d
group by ccy
order by ccy;"
30,"select count(distinct pty_id) as cust_cnt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331';"
31,"select sum(buy_amt) as tot_buy_amt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331';"
32,"select sum(sell_amt) as tot_sell_amt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331';"
33,"select sum(nm_tot_aset) as tot_aset
from dws_cust_aset_d
where data_dt='20260331';"
34,"select round(avg(nm_tot_aset),2) as avg_aset
from dws_cust_aset_d
where data_dt='20260331';"
35,"select sum(cash_in) as tot_cash_in
from dws_cust_fin_d
where data_dt between '20260101' and '20260331';"
36,"select count(distinct code_type_id) as type_cnt
from dim_public;"
37,"select b.describe as profession, count(*) as cnt
from ads_cust_info_d a
left join dim_public b on a.prof_cd=b.code and b.code_type_id='700'
where a.data_dt='20260531'
group by b.describe
order by cnt desc
limit 10;"
38,"select a.name, a.cust_age, b.org_name
from ads_cust_info_d a
left join dim_public c on a.cust_lvl_cd=c.code and c.code_type_id='100'
left join dim_branch b on a.org_id=b.org_id
where a.data_dt='20260531' and c.describe='紫金理财钻石卡客户'
order by a.cust_age desc, a.pty_id;"
39,"select c.describe as cust_lvl,
       round(avg(coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)),2) as avg_aset
from ads_cust_info_d a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
left join dim_public c on a.cust_lvl_cd=c.code and c.code_type_id='100'
where a.data_dt='20260531'
group by c.describe
order by avg_aset desc nulls last;"
40,"select c.describe as gender,
       round(avg(coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)),2) as avg_aset
from ads_cust_info_d a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
left join dim_public c on a.gender_cd=c.code and c.code_type_id='500'
where a.data_dt='20260531'
group by c.describe
order by gender;"
41,"select c.describe as edu,
       round(avg(coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)),2) as avg_aset
from ads_cust_info_d a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
left join dim_public c on a.edu_cd=c.code and c.code_type_id='600'
where a.data_dt='20260531'
group by c.describe
order by avg_aset desc nulls last;"
42,"select distinct a.pty_id
from dwd_cust_hold_d a
inner join dim_product b on a.prdt_id=b.prdt_id
where b.prdt_name='比亚迪' and b.prdt_type_name='A股'
  and a.data_dt='20260331'
order by pty_id;"
43,"select c.up_prdt_type_name,
       sum(a.mkt_val) as mkt_val,
       count(distinct a.pty_id) as cust_cnt
from dwd_cust_hold_d a
inner join dim_product c on a.prdt_id=c.prdt_id
where a.data_dt='20260331'
group by c.up_prdt_type_name
order by mkt_val desc nulls last;"
44,"select b.org_name, count(*) as cnt
from ads_cust_info_d a
inner join dim_branch b on a.org_id=b.org_id
where a.data_dt='20260531' and a.prov_name='江苏省'
group by b.org_name
order by cnt desc, b.org_name;"
45,"select b.up_org_name, count(*) as cust_cnt, round(avg(a.cust_age),1) as avg_age
from ads_cust_info_d a
inner join dim_branch b on a.org_id=b.org_id
where a.data_dt='20260531'
group by b.up_org_name
order by cust_cnt desc, b.up_org_name;"
46,"select c.describe as profession, count(*) as cnt
from ads_cust_info_d a
left join dim_public c on a.prof_cd=c.code and c.code_type_id='700'
where a.data_dt='20260531'
  and c.describe in ('公职 离/退休','非公职 离/退休')
group by c.describe
order by profession;"
47,"select round(avg(coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)),2) as avg_aset
from ads_cust_info_d a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
where a.data_dt='20260531' and a.cust_age<30;"
48,"select substring(data_dt,1,6) as mon,
       sum(buy_amt) as buy_amt,
       sum(sell_amt) as sell_amt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by substring(data_dt,1,6)
order by mon;"
49,"select c.describe as cust_lvl, count(distinct a.pty_id) as cust_cnt
from dwd_cust_tran_d a
inner join ads_cust_info_d b on a.pty_id=b.pty_id and b.data_dt='20260531'
left join dim_public c on b.cust_lvl_cd=c.code and c.code_type_id='100'
where a.data_dt between '20260101' and '20260331'
group by c.describe
order by cust_cnt desc;"
50,"select sum(mkt_val) as fc_mkt_val,
       count(distinct pty_id) as cust_cnt
from dwd_cust_hold_d
where data_dt='20260331' and sys_source='fc';"
51,"select pty_id, sum(mkt_val) as hkd_mkt_val
from dwd_cust_hold_d
where data_dt='20260331' and ccy='2'
group by pty_id
order by hkd_mkt_val desc nulls last;"
52,"select count(distinct a.pty_id) as cust_cnt,
       sum(a.mkt_val) as mkt_val
from dwd_cust_hold_d a
inner join dim_product b on a.prdt_id=b.prdt_id
where a.data_dt='20260331' and b.prdt_type_name='科创板';"
53,"select count(distinct a.pty_id) as cust_cnt
from dwd_cust_hold_d a
inner join dim_product b on a.prdt_id=b.prdt_id
where a.data_dt='20260331' and b.prdt_type_name='ETF';"
54,"select count(*) as cnt,
       round(count(*)*100.0/(select count(*) from ads_cust_info_d where data_dt='20260531'),2) as pct
from ads_cust_info_d a
left join dim_public b on a.edu_cd=b.code and b.code_type_id='600'
where a.data_dt='20260531' and b.describe in ('硕士','博士');"
55,"select prov_name, city_name, count(*) as cnt, round(avg(cust_age),1) as avg_age
from ads_cust_info_d
where data_dt='20260531'
group by prov_name, city_name
order by cnt desc, prov_name, city_name;"
56,"select pty_id, count(distinct prdt_id) as prdt_cnt
from dwd_cust_hold_d
where data_dt='20260331'
group by pty_id
order by prdt_cnt desc
, pty_id
limit 10;"
57,"select sys_source,
       sum(buy_amt) as buy_amt,
       sum(sell_amt) as sell_amt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by sys_source
order by sys_source;"
58,"select a.pty_id,
       coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0) as tot_aset
from ads_cust_info_d a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
where a.data_dt='20260531'
  and coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)>1000000
order by tot_aset desc;"
59,"select count(*) as cust_cnt
from
(
select pty_id, sum(cash_in) as cash_in, sum(cash_out) as cash_out
from dws_cust_fin_d
where data_dt between '20260101' and '20260331'
group by pty_id
having sum(cash_out)>sum(cash_in)
) t;"
60,"select c.org_name,
       sum(coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)) as tot_aset
from ads_cust_info_d a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
left join dim_branch c on a.org_id=c.org_id
where a.data_dt='20260531'
group by c.org_name
order by tot_aset desc nulls last;"
61,"select a.pty_id, sum(a.mkt_val) as mkt_val
from dwd_cust_hold_d a
inner join dim_product b on a.prdt_id=b.prdt_id
where a.data_dt='20260331' and b.prdt_name='招商银行' and b.prdt_type_name='A股'
group by a.pty_id
order by mkt_val desc
limit 10;"
62,"select case when cust_age<30 then '<30'
            when cust_age>=30 and cust_age<50 then '[30,50)'
            when cust_age>=50 and cust_age<60 then '[50,60)'
            else '[60,)' end as age_grp,
       count(*) as cnt
from ads_cust_info_d
where data_dt='20260531'
group by 1
order by 1;"
63,"select c.up_prdt_type_name,
       sum(b.buy_amt)+sum(b.sell_amt) as tran_amt
from dwd_cust_tran_d b
inner join dim_product c on b.prdt_id=c.prdt_id
where b.data_dt between '20260101' and '20260331'
group by c.up_prdt_type_name
order by tran_amt desc nulls last;"
64,"select round(avg(a.cust_age),1) as avg_age
from ads_cust_info_d a
where a.data_dt='20260531'
  and exists(select 1 from dwd_cust_tran_d b
             where b.pty_id=a.pty_id and b.sys_source='fc'
               and b.data_dt between '20260101' and '20260331');"
65,"select round(avg(t.prdt_cnt),1) as avg_prdt_cnt
from ads_cust_info_d a
inner join dim_public c on a.gender_cd=c.code and c.code_type_id='500'
inner join
(
select pty_id, count(distinct prdt_id) as prdt_cnt
from dwd_cust_hold_d
where data_dt='20260331'
group by pty_id
) t on a.pty_id=t.pty_id
where a.data_dt='20260531' and c.describe='女';"
66,"select pty_id,
       coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0) as tot_aset
from dws_cust_aset_d
where data_dt='20260331'
order by tot_aset desc
limit 10;"
67,"select substring(data_dt,1,6) as mon,
       count(distinct pty_id) as cust_cnt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by substring(data_dt,1,6)
order by mon;"
68,"with fin as
(
select pty_id,
       sum(coalesce(cash_in,0))+sum(coalesce(tran_in,0))+sum(coalesce(assign_in,0)) as aset_in,
       sum(coalesce(cash_out,0))+sum(coalesce(tran_out,0))+sum(coalesce(assign_out,0)) as aset_out
from dws_cust_fin_d
where data_dt between '20260101' and '20260331'
group by pty_id
)
select a.pty_id,
       coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0) as end_aset,
       coalesce(c.nm_tot_aset,0)+coalesce(c.fc_pur_aset,0) as bgn_aset,
       coalesce(d.aset_in,0) as aset_in,
       coalesce(d.aset_out,0) as aset_out,
       coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)
       -coalesce(c.nm_tot_aset,0)-coalesce(c.fc_pur_aset,0)
       +coalesce(d.aset_out,0)-coalesce(d.aset_in,0) as aset_pft
from (select distinct pty_id from dws_cust_aset_d where data_dt='20260331') a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
left join dws_cust_aset_d c on a.pty_id=c.pty_id and c.data_dt='20260101'
left join fin d on a.pty_id=d.pty_id
order by a.pty_id;"
69,"select substring(data_dt,1,6) as mon,
       sum(coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0)) as tot_aset
from dws_cust_aset_d
group by substring(data_dt,1,6)
order by mon;"
70,"select a.pty_id,
       coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0) as end_aset,
       coalesce(c.nm_tot_aset,0)+coalesce(c.fc_pur_aset,0) as bgn_aset
from (select distinct pty_id from dws_cust_aset_d where data_dt='20260101') a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
left join dws_cust_aset_d c on a.pty_id=c.pty_id and c.data_dt='20260101'
where coalesce(c.nm_tot_aset,0)+coalesce(c.fc_pur_aset,0)>0
  and coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)
     <(coalesce(c.nm_tot_aset,0)+coalesce(c.fc_pur_aset,0))*0.9
order by a.pty_id;"
71,"select pty_id, count(distinct data_dt) as trade_days
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by pty_id
order by trade_days desc
, pty_id
limit 10;"
72,"select pty_id,
       coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0) as tot_aset,
       rank() over(order by coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0) desc) as rnk
from dws_cust_aset_d
where data_dt='20260331'
order by rnk
limit 20;"
73,"with lvl as
(
select a.pty_id, c.describe as cust_lvl
from ads_cust_info_d a
left join dim_public c on a.cust_lvl_cd=c.code and c.code_type_id='100'
where a.data_dt='20260531'
),
tran as
(
select pty_id, sum(buy_amt)+sum(sell_amt) as tran_amt, count(distinct data_dt) as trade_days
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by pty_id
)
select l.cust_lvl,
       count(t.pty_id) as trade_cust_cnt,
       round(avg(t.tran_amt),2) as avg_tran_amt,
       round(avg(t.trade_days),1) as avg_trade_days
from lvl l
left join tran t on l.pty_id=t.pty_id
group by l.cust_lvl
order by avg_tran_amt desc nulls last;"
74,"with tot as
(
select pty_id, coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0) as tot_aset
from dws_cust_aset_d
where data_dt='20260331'
)
select a.pty_id, d.prdt_name, a.mkt_val, b.tot_aset,
       round(a.mkt_val*100.0/nullif(b.tot_aset,0),2) as pct
from dwd_cust_hold_d a
inner join tot b on a.pty_id=b.pty_id
inner join dim_product d on a.prdt_id=d.prdt_id
where a.data_dt='20260331'
  and a.mkt_val*100.0/nullif(b.tot_aset,0)>50
order by pct desc, a.pty_id, d.prdt_name, a.mkt_val desc;"
75,"with buy_q1 as
(
select distinct a.prdt_id, a.pty_id
from dwd_cust_tran_d a
inner join dim_product b on a.prdt_id=b.prdt_id and b.up_prdt_type_id='PT040000'
where a.data_dt between '20260101' and '20260331' and a.buy_amt>0
)
select c.up_prdt_type_name, c.prdt_type_name,
       count(distinct a.prdt_id) as prdt_cnt,
       count(distinct a.pty_id) as cust_cnt
from dwd_cust_hold_d a
inner join buy_q1 b on a.prdt_id=b.prdt_id and a.pty_id=b.pty_id
inner join dim_product c on a.prdt_id=c.prdt_id
where a.data_dt='20260331'
group by c.up_prdt_type_name, c.prdt_type_name
order by cust_cnt desc;"
76,"with bgn_hold as
(
select distinct pty_id from dwd_cust_hold_d where data_dt='20260101'
),
end_hold as
(
select distinct pty_id from dwd_cust_hold_d where data_dt='20260331'
)
select count(*) as clear_cust_cnt
from bgn_hold a
where not exists(select 1 from end_hold b where a.pty_id=b.pty_id);"
77,"select pty_id,
       sum(coalesce(cash_in,0))+sum(coalesce(tran_in,0))+sum(coalesce(assign_in,0))
      -sum(coalesce(cash_out,0))-sum(coalesce(tran_out,0))-sum(coalesce(assign_out,0)) as net_in
from dws_cust_fin_d
where data_dt between '20260101' and '20260331'
group by pty_id
order by net_in desc
limit 10;"
78,"with cust_tran as
(
select pty_id, sum(buy_amt)+sum(sell_amt) as tran_amt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by pty_id
)
select b.up_org_name,
       count(distinct a.pty_id) as cust_cnt,
       sum(coalesce(t.tran_amt,0)) as tran_amt,
       sum(coalesce(d.nm_tot_aset,0)+coalesce(d.fc_pur_aset,0)) as end_aset
from ads_cust_info_d a
inner join dim_branch b on a.org_id=b.org_id
left join cust_tran t on a.pty_id=t.pty_id
left join dws_cust_aset_d d on a.pty_id=d.pty_id and d.data_dt='20260331'
where a.data_dt='20260531'
group by b.up_org_name
order by end_aset desc nulls last;"
79,"select pty_id, sum(coalesce(buy_rake,0))+sum(coalesce(sell_rake,0)) as tot_rake
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by pty_id
order by tot_rake desc
limit 10;"
80,"with aset as
(
select pty_id, coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0) as tot_aset
from dws_cust_aset_d
where data_dt='20260331'
),
tran as
(
select pty_id, sum(coalesce(buy_amt,0))+sum(coalesce(sell_amt,0)) as tran_amt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by pty_id
)
select a.pty_id, a.tot_aset, coalesce(t.tran_amt,0) as tran_amt
from aset a
left join tran t on a.pty_id=t.pty_id
where a.tot_aset>500000 and coalesce(t.tran_amt,0)<10000
order by a.tot_aset desc;"
81,"with tran_m as
(
select pty_id,
       max(case when substring(data_dt,1,6)='202601' then 1 else 0 end) as m1,
       max(case when substring(data_dt,1,6)='202602' then 1 else 0 end) as m2,
       max(case when substring(data_dt,1,6)='202603' then 1 else 0 end) as m3
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by pty_id
)
select count(*) as active_cust_cnt
from tran_m
where m1=0 and (m2=1 or m3=1);"
82,"with bgn as
(
select pty_id, coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0) as aset
from dws_cust_aset_d where data_dt='20260101'
),
endd as
(
select pty_id, coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0) as aset
from dws_cust_aset_d where data_dt='20260331'
)
select case when a.aset<100000 then '<10万'
            when a.aset<500000 then '[10万,50万)'
            else '50万以上' end as bgn_lvl,
       case when b.aset<100000 then '<10万'
            when b.aset<500000 then '[10万,50万)'
            else '50万以上' end as end_lvl,
       count(*) as cnt
from bgn a
inner join endd b on a.pty_id=b.pty_id
group by 1,2
order by 1,2;"
83,"select case when a.cust_age<30 then '<30'
            when a.cust_age>=30 and a.cust_age<50 then '[30,50)'
            else '[50,)' end as age_grp,
       c.up_prdt_type_name,
       sum(b.mkt_val) as mkt_val
from ads_cust_info_d a
inner join dwd_cust_hold_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
inner join dim_product c on b.prdt_id=c.prdt_id
where a.data_dt='20260531'
group by 1,2
order by 1, mkt_val desc nulls last;"
84,"with fin as
(
select pty_id,
       sum(coalesce(cash_in,0))+sum(coalesce(tran_in,0))+sum(coalesce(assign_in,0)) as aset_in,
       sum(coalesce(cash_out,0))+sum(coalesce(tran_out,0))+sum(coalesce(assign_out,0)) as aset_out
from dws_cust_fin_d
where data_dt between '20260101' and '20260331'
group by pty_id
),
pft as
(
select a.pty_id,
       coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)
       -coalesce(c.nm_tot_aset,0)-coalesce(c.fc_pur_aset,0)
       +coalesce(d.aset_out,0)-coalesce(d.aset_in,0) as aset_pft
from (select distinct pty_id from dws_cust_aset_d where data_dt='20260331') a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
left join dws_cust_aset_d c on a.pty_id=c.pty_id and c.data_dt='20260101'
left join fin d on a.pty_id=d.pty_id
)
select case when aset_pft>0 then '盈利'
            when aset_pft<0 then '亏损'
            else '持平' end as pft_type,
       count(*) as cust_cnt
from pft
group by 1
order by 1;"
85,"select a.pty_id,
       sum(coalesce(b.buy_amt,0))+sum(coalesce(b.sell_amt,0)) as tran_amt
from (select distinct pty_id
      from dws_cust_fin_d
      where data_dt between '20260101' and '20260331' and cash_in>500000) a
left join dwd_cust_tran_d b on a.pty_id=b.pty_id and b.data_dt between '20260101' and '20260331'
group by a.pty_id
order by tran_amt desc;"
86,"with first_tran as
(
select pty_id, min(data_dt) as first_dt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by pty_id
)
select substring(first_dt,1,6) as mon, count(*) as new_cust_cnt
from first_tran
group by 1
order by 1;"
87,"select b.org_name,
       count(*) as cust_cnt,
       sum(case when coalesce(c.nm_tot_aset,0)+coalesce(c.fc_pur_aset,0)>1000000 then 1 else 0 end) as hv_cnt,
       round(sum(case when coalesce(c.nm_tot_aset,0)+coalesce(c.fc_pur_aset,0)>1000000 then 1 else 0 end)*100.0/count(*),2) as hv_pct
from ads_cust_info_d a
left join dim_branch b on a.org_id=b.org_id
left join dws_cust_aset_d c on a.pty_id=c.pty_id and c.data_dt='20260331'
where a.data_dt='20260531'
group by b.org_name
having sum(case when coalesce(c.nm_tot_aset,0)+coalesce(c.fc_pur_aset,0)>1000000 then 1 else 0 end)>0
order by hv_cnt desc, b.org_name;"
88,"select b.prdt_name, b.prdt_type_name,
       count(distinct a.pty_id) as holder_cnt,
       sum(a.mkt_val) as tot_val
from dwd_cust_hold_d a
inner join dim_product b on a.prdt_id=b.prdt_id
where a.data_dt='20260331'
group by b.prdt_name, b.prdt_type_name
order by tot_val desc nulls last
limit 20;"
89,"with tran as
(
select pty_id, sum(buy_amt) as buy_amt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by pty_id
),
aset as
(
select pty_id, coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0) as tot_aset
from dws_cust_aset_d
where data_dt='20260331'
)
select a.pty_id, t.buy_amt, a.tot_aset,
       round(t.buy_amt/nullif(a.tot_aset,0),2) as turnover_ratio
from tran t
inner join aset a on t.pty_id=a.pty_id and a.tot_aset>0
order by turnover_ratio desc
limit 10;"
90,"with m_aset as
(
select substring(data_dt,1,6) as mon,
       sum(coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0)) as tot_aset
from dws_cust_aset_d
group by substring(data_dt,1,6)
)
select mon, round(tot_aset,2) as tot_aset,
       round((tot_aset-lag(tot_aset) over(order by mon))*100.0
             /nullif(lag(tot_aset) over(order by mon),0),2) as mom_pct
from m_aset
order by mon;"
