序号,问题,SQL
38,钻石卡客户的姓名、年龄及所属营业部,"select a.name, a.cust_age, b.org_name
from ads_cust_info_d a
left join dim_public c on a.cust_lvl_cd=c.code and c.code_type_id='100'
left join dim_branch b on a.org_id=b.org_id
where a.data_dt='20260531' and c.describe='紫金理财钻石卡客户'
order by a.cust_age desc, a.pty_id;"
39,20260331各客户等级的平均总资产（普通账户总资产+信用账户净资产）,"select c.describe as cust_lvl,
       round(avg(coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)),2) as avg_aset
from ads_cust_info_d a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
left join dim_public c on a.cust_lvl_cd=c.code and c.code_type_id='100'
where a.data_dt='20260531'
group by c.describe
order by avg_aset desc nulls last;"
40,男性与女性客户20260331的平均总资产对比,"select c.describe as gender,
       round(avg(coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)),2) as avg_aset
from ads_cust_info_d a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
left join dim_public c on a.gender_cd=c.code and c.code_type_id='500'
where a.data_dt='20260531'
group by c.describe
order by gender;"
41,20260331各学历层次的客户平均总资产,"select c.describe as edu,
       round(avg(coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)),2) as avg_aset
from ads_cust_info_d a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
left join dim_public c on a.edu_cd=c.code and c.code_type_id='600'
where a.data_dt='20260531'
group by c.describe
order by avg_aset desc nulls last;"
42,20260331持有比亚迪A股的客户名单,"select distinct a.pty_id
from dwd_cust_hold_d a
inner join dim_product b on a.prdt_id=b.prdt_id
where b.prdt_name='比亚迪' and b.prdt_type_name='A股'
  and a.data_dt='20260331'
order by pty_id;"
43,20260331各产品一级分类的持仓总市值及持仓客户数,"select c.up_prdt_type_name,
       sum(a.mkt_val) as mkt_val,
       count(distinct a.pty_id) as cust_cnt
from dwd_cust_hold_d a
inner join dim_product c on a.prdt_id=c.prdt_id
where a.data_dt='20260331'
group by c.up_prdt_type_name
order by mkt_val desc nulls last;"
44,江苏省客户在各营业部的数量分布,"select b.org_name, count(*) as cnt
from ads_cust_info_d a
inner join dim_branch b on a.org_id=b.org_id
where a.data_dt='20260531' and a.prov_name='江苏省'
group by b.org_name
order by cnt desc, b.org_name;"
45,各分公司的客户数量及客户平均年龄,"select b.up_org_name, count(*) as cust_cnt, round(avg(a.cust_age),1) as avg_age
from ads_cust_info_d a
inner join dim_branch b on a.org_id=b.org_id
where a.data_dt='20260531'
group by b.up_org_name
order by cust_cnt desc, b.up_org_name;"
46,离退休人员（公职、非公职）的客户数量,"select c.describe as profession, count(*) as cnt
from ads_cust_info_d a
left join dim_public c on a.prof_cd=c.code and c.code_type_id='700'
where a.data_dt='20260531'
  and c.describe in ('公职 离/退休','非公职 离/退休')
group by c.describe
order by profession;"
47,30岁以下客户20260331的平均总资产,"select round(avg(coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)),2) as avg_aset
from ads_cust_info_d a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
where a.data_dt='20260531' and a.cust_age<30;"
48,26年Q1各月买入金额与卖出金额,"select substring(data_dt,1,6) as mon,
       sum(buy_amt) as buy_amt,
       sum(sell_amt) as sell_amt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by substring(data_dt,1,6)
order by mon;"
49,26年Q1有交易的客户按客户等级分布,"select c.describe as cust_lvl, count(distinct a.pty_id) as cust_cnt
from dwd_cust_tran_d a
inner join ads_cust_info_d b on a.pty_id=b.pty_id and b.data_dt='20260531'
left join dim_public c on b.cust_lvl_cd=c.code and c.code_type_id='100'
where a.data_dt between '20260101' and '20260331'
group by c.describe
order by cust_cnt desc;"
50,20260331信用账户(sys_source=fc)的持仓总市值及持仓客户数,"select sum(mkt_val) as fc_mkt_val,
       count(distinct pty_id) as cust_cnt
from dwd_cust_hold_d
where data_dt='20260331' and sys_source='fc';"
51,20260331持有港币(ccy=2)资产的客户及其港币持仓市值,"select pty_id, sum(mkt_val) as hkd_mkt_val
from dwd_cust_hold_d
where data_dt='20260331' and ccy='2'
group by pty_id
order by hkd_mkt_val desc nulls last;"
52,20260331科创板产品的持仓客户数及持仓市值,"select count(distinct a.pty_id) as cust_cnt,
       sum(a.mkt_val) as mkt_val
from dwd_cust_hold_d a
inner join dim_product b on a.prdt_id=b.prdt_id
where a.data_dt='20260331' and b.prdt_type_name='科创板';"
53,20260331持有ETF产品的客户数量,"select count(distinct a.pty_id) as cust_cnt
from dwd_cust_hold_d a
inner join dim_product b on a.prdt_id=b.prdt_id
where a.data_dt='20260331' and b.prdt_type_name='ETF';"
54,硕士及以上学历客户的数量及占全部客户的比例,"select count(*) as cnt,
       round(count(*)*100.0/(select count(*) from ads_cust_info_d where data_dt='20260531'),2) as pct
from ads_cust_info_d a
left join dim_public b on a.edu_cd=b.code and b.code_type_id='600'
where a.data_dt='20260531' and b.describe in ('硕士','博士');"
55,各城市的客户数量及平均年龄,"select prov_name, city_name, count(*) as cnt, round(avg(cust_age),1) as avg_age
from ads_cust_info_d
where data_dt='20260531'
group by prov_name, city_name
order by cnt desc, prov_name, city_name;"
56,20260331持有产品数量最多的前10客户,"select pty_id, count(distinct prdt_id) as prdt_cnt
from dwd_cust_hold_d
where data_dt='20260331'
group by pty_id
order by prdt_cnt desc
, pty_id
limit 10;"
57,26年Q1普通账户(nm)与信用账户(fc)的交易金额分布,"select sys_source,
       sum(buy_amt) as buy_amt,
       sum(sell_amt) as sell_amt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by sys_source
order by sys_source;"
58,20260331总资产（普通账户总资产+信用账户净资产）大于100万的客户名单,"select a.pty_id,
       coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0) as tot_aset
from ads_cust_info_d a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
where a.data_dt='20260531'
  and coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)>1000000
order by tot_aset desc;"
59,26年Q1现金净流出（现金转出大于现金转入）的客户数量,"select count(*) as cust_cnt
from
(
select pty_id, sum(cash_in) as cash_in, sum(cash_out) as cash_out
from dws_cust_fin_d
where data_dt between '20260101' and '20260331'
group by pty_id
having sum(cash_out)>sum(cash_in)
) t;"
60,20260331各营业部管理的客户总资产,"select c.org_name,
       sum(coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)) as tot_aset
from ads_cust_info_d a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
left join dim_branch c on a.org_id=c.org_id
where a.data_dt='20260531'
group by c.org_name
order by tot_aset desc nulls last;"
61,20260331持有招商银行A股市值前10的客户,"select a.pty_id, sum(a.mkt_val) as mkt_val
from dwd_cust_hold_d a
inner join dim_product b on a.prdt_id=b.prdt_id
where a.data_dt='20260331' and b.prdt_name='招商银行' and b.prdt_type_name='A股'
group by a.pty_id
order by mkt_val desc
limit 10;"
62,"客户年龄段分布（小于30、[30,50)、[50,60)、60以上）","select case when cust_age<30 then '<30'
            when cust_age>=30 and cust_age<50 then '[30,50)'
            when cust_age>=50 and cust_age<60 then '[50,60)'
            else '[60,)' end as age_grp,
       count(*) as cnt
from ads_cust_info_d
where data_dt='20260531'
group by 1
order by 1;"
63,26年Q1各产品一级分类的交易金额（买入+卖出）,"select c.up_prdt_type_name,
       sum(b.buy_amt)+sum(b.sell_amt) as tran_amt
from dwd_cust_tran_d b
inner join dim_product c on b.prdt_id=c.prdt_id
where b.data_dt between '20260101' and '20260331'
group by c.up_prdt_type_name
order by tran_amt desc nulls last;"
64,26年Q1使用信用账户交易的客户平均年龄,"select round(avg(a.cust_age),1) as avg_age
from ads_cust_info_d a
where a.data_dt='20260531'
  and exists(select 1 from dwd_cust_tran_d b
             where b.pty_id=a.pty_id and b.sys_source='fc'
               and b.data_dt between '20260101' and '20260331');"
65,20260331女性客户平均持有的产品种类数,"select round(avg(t.prdt_cnt),1) as avg_prdt_cnt
from ads_cust_info_d a
inner join dim_public c on a.gender_cd=c.code and c.code_type_id='500'
inner join
(
select pty_id, count(distinct prdt_id) as prdt_cnt
from dwd_cust_hold_d
where data_dt='20260331'
group by pty_id
) t on a.pty_id=t.pty_id
where a.data_dt='20260531' and c.describe='女';"
66,20260331总资产排名前10的客户及其总资产,"select pty_id,
       coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0) as tot_aset
from dws_cust_aset_d
where data_dt='20260331'
order by tot_aset desc
limit 10;"
67,26年Q1各月有交易的客户数,"select substring(data_dt,1,6) as mon,
       count(distinct pty_id) as cust_cnt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by substring(data_dt,1,6)
order by mon;"
68,计算26年Q1全体客户的盈亏情况（期末资产-期初资产+资产转出-资产转入）,"with fin as
(
select pty_id,
       sum(coalesce(cash_in,0))+sum(coalesce(tran_in,0))+sum(coalesce(assign_in,0)) as aset_in,
       sum(coalesce(cash_out,0))+sum(coalesce(tran_out,0))+sum(coalesce(assign_out,0)) as aset_out
from dws_cust_fin_d
where data_dt between '20260101' and '20260331'
group by pty_id
)
select a.pty_id,
       coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0) as end_aset,
       coalesce(c.nm_tot_aset,0)+coalesce(c.fc_pur_aset,0) as bgn_aset,
       coalesce(d.aset_in,0) as aset_in,
       coalesce(d.aset_out,0) as aset_out,
       coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)
       -coalesce(c.nm_tot_aset,0)-coalesce(c.fc_pur_aset,0)
       +coalesce(d.aset_out,0)-coalesce(d.aset_in,0) as aset_pft
from (select distinct pty_id from dws_cust_aset_d where data_dt='20260331') a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
left join dws_cust_aset_d c on a.pty_id=c.pty_id and c.data_dt='20260101'
left join fin d on a.pty_id=d.pty_id
order by a.pty_id;"
69,26年Q1各月全体客户总资产变化趋势,"select substring(data_dt,1,6) as mon,
       sum(coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0)) as tot_aset
from dws_cust_aset_d
group by substring(data_dt,1,6)
order by mon;"
70,找出26年Q1资产流失客户（20260331总资产比20260101减少10%以上）,"select a.pty_id,
       coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0) as end_aset,
       coalesce(c.nm_tot_aset,0)+coalesce(c.fc_pur_aset,0) as bgn_aset
from (select distinct pty_id from dws_cust_aset_d where data_dt='20260101') a
left join dws_cust_aset_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
left join dws_cust_aset_d c on a.pty_id=c.pty_id and c.data_dt='20260101'
where coalesce(c.nm_tot_aset,0)+coalesce(c.fc_pur_aset,0)>0
  and coalesce(b.nm_tot_aset,0)+coalesce(b.fc_pur_aset,0)
     <(coalesce(c.nm_tot_aset,0)+coalesce(c.fc_pur_aset,0))*0.9
order by a.pty_id;"
71,识别26年Q1高频交易客户（按交易天数排名前10）,"select pty_id, count(distinct data_dt) as trade_days
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by pty_id
order by trade_days desc
, pty_id
limit 10;"
72,20260331客户总资产排名（使用窗口函数，含并列名次），取前20名,"select pty_id,
       coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0) as tot_aset,
       rank() over(order by coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0) desc) as rnk
from dws_cust_aset_d
where data_dt='20260331'
order by rnk
limit 20;"
73,各客户等级26年Q1交易活跃度分析（交易客户数、人均交易金额、人均交易天数）,"with lvl as
(
select a.pty_id, c.describe as cust_lvl
from ads_cust_info_d a
left join dim_public c on a.cust_lvl_cd=c.code and c.code_type_id='100'
where a.data_dt='20260531'
),
tran as
(
select pty_id, sum(buy_amt)+sum(sell_amt) as tran_amt, count(distinct data_dt) as trade_days
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by pty_id
)
select l.cust_lvl,
       count(t.pty_id) as trade_cust_cnt,
       round(avg(t.tran_amt),2) as avg_tran_amt,
       round(avg(t.trade_days),1) as avg_trade_days
from lvl l
left join tran t on l.pty_id=t.pty_id
group by l.cust_lvl
order by avg_tran_amt desc nulls last;"
74,持仓集中度分析：20260331单一产品市值占客户总资产比例超过50%的持仓明细,"with tot as
(
select pty_id, coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0) as tot_aset
from dws_cust_aset_d
where data_dt='20260331'
)
select a.pty_id, d.prdt_name, a.mkt_val, b.tot_aset,
       round(a.mkt_val*100.0/nullif(b.tot_aset,0),2) as pct
from dwd_cust_hold_d a
inner join tot b on a.pty_id=b.pty_id
inner join dim_product d on a.prdt_id=d.prdt_id
where a.data_dt='20260331'
  and a.mkt_val*100.0/nullif(b.tot_aset,0)>50
order by pct desc, a.pty_id, d.prdt_name, a.mkt_val desc;"
75,26年Q1买入过且20260331仍持有的股票，按二级分类统计产品数与客户数,"with buy_q1 as
(
select distinct a.prdt_id, a.pty_id
from dwd_cust_tran_d a
inner join dim_product b on a.prdt_id=b.prdt_id and b.up_prdt_type_id='PT040000'
where a.data_dt between '20260101' and '20260331' and a.buy_amt>0
)
select c.up_prdt_type_name, c.prdt_type_name,
       count(distinct a.prdt_id) as prdt_cnt,
       count(distinct a.pty_id) as cust_cnt
from dwd_cust_hold_d a
inner join buy_q1 b on a.prdt_id=b.prdt_id and a.pty_id=b.pty_id
inner join dim_product c on a.prdt_id=c.prdt_id
where a.data_dt='20260331'
group by c.up_prdt_type_name, c.prdt_type_name
order by cust_cnt desc;"
76,26年Q1清仓客户识别（20260101有持仓但20260331无持仓的客户数量）,"with bgn_hold as
(
select distinct pty_id from dwd_cust_hold_d where data_dt='20260101'
),
end_hold as
(
select distinct pty_id from dwd_cust_hold_d where data_dt='20260331'
)
select count(*) as clear_cust_cnt
from bgn_hold a
where not exists(select 1 from end_hold b where a.pty_id=b.pty_id);"
77,26年Q1资产净流入前10客户（现金、证券、指定转入转出轧差）,"select pty_id,
       sum(coalesce(cash_in,0))+sum(coalesce(tran_in,0))+sum(coalesce(assign_in,0))
      -sum(coalesce(cash_out,0))-sum(coalesce(tran_out,0))-sum(coalesce(assign_out,0)) as net_in
from dws_cust_fin_d
where data_dt between '20260101' and '20260331'
group by pty_id
order by net_in desc
limit 10;"
78,各分公司26年Q1客户数、交易总额及20260331期末资产,"with cust_tran as
(
select pty_id, sum(buy_amt)+sum(sell_amt) as tran_amt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by pty_id
)
select b.up_org_name,
       count(distinct a.pty_id) as cust_cnt,
       sum(coalesce(t.tran_amt,0)) as tran_amt,
       sum(coalesce(d.nm_tot_aset,0)+coalesce(d.fc_pur_aset,0)) as end_aset
from ads_cust_info_d a
inner join dim_branch b on a.org_id=b.org_id
left join cust_tran t on a.pty_id=t.pty_id
left join dws_cust_aset_d d on a.pty_id=d.pty_id and d.data_dt='20260331'
where a.data_dt='20260531'
group by b.up_org_name
order by end_aset desc nulls last;"
79,26年Q1佣金贡献前10客户（买入佣金+卖出佣金）,"select pty_id, sum(coalesce(buy_rake,0))+sum(coalesce(sell_rake,0)) as tot_rake
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by pty_id
order by tot_rake desc
limit 10;"
80,潜力客户挖掘：20260331总资产超过50万但26年Q1交易金额不足1万的客户,"with aset as
(
select pty_id, coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0) as tot_aset
from dws_cust_aset_d
where data_dt='20260331'
),
tran as
(
select pty_id, sum(coalesce(buy_amt,0))+sum(coalesce(sell_amt,0)) as tran_amt
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by pty_id
)
select a.pty_id, a.tot_aset, coalesce(t.tran_amt,0) as tran_amt
from aset a
left join tran t on a.pty_id=t.pty_id
where a.tot_aset>500000 and coalesce(t.tran_amt,0)<10000
order by a.tot_aset desc;"
81,沉睡激活客户：26年1月无交易但2月或3月有交易的客户数量,"with tran_m as
(
select pty_id,
       max(case when substring(data_dt,1,6)='202601' then 1 else 0 end) as m1,
       max(case when substring(data_dt,1,6)='202602' then 1 else 0 end) as m2,
       max(case when substring(data_dt,1,6)='202603' then 1 else 0 end) as m3
from dwd_cust_tran_d
where data_dt between '20260101' and '20260331'
group by pty_id
)
select count(*) as active_cust_cnt
from tran_m
where m1=0 and (m2=1 or m3=1);"
82,客户资产分层迁移分析：20260101与20260331资产分层对比矩阵（10万以下、10-50万、50万以上）,"with bgn as
(
select pty_id, coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0) as aset
from dws_cust_aset_d where data_dt='20260101'
),
endd as
(
select pty_id, coalesce(nm_tot_aset,0)+coalesce(fc_pur_aset,0) as aset
from dws_cust_aset_d where data_dt='20260331'
)
select case when a.aset<100000 then '<10万'
            when a.aset<500000 then '[10万,50万)'
            else '50万以上' end as bgn_lvl,
       case when b.aset<100000 then '<10万'
            when b.aset<500000 then '[10万,50万)'
            else '50万以上' end as end_lvl,
       count(*) as cnt
from bgn a
inner join endd b on a.pty_id=b.pty_id
group by 1,2
order by 1,2;"
83,不同年龄段客户的产品大类持仓偏好（20260331持仓市值分布）,"select case when a.cust_age<30 then '<30'
            when a.cust_age>=30 and a.cust_age<50 then '[30,50)'
            else '[50,)' end as age_grp,
       c.up_prdt_type_name,
       sum(b.mkt_val) as mkt_val
from ads_cust_info_d a
inner join dwd_cust_hold_d b on a.pty_id=b.pty_id and b.data_dt='20260331'
inner join dim_product c on b.prdt_id=c.prdt_id
where a.data_dt='20260531'
group by 1,2
order by 1, mkt_val desc nulls last;"
